ID,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_SO2,Total_SO2,Density,pH,Sulphates,Alcohol,Quality
1,7.0,0.27,0.36,High,0.045,45.0,170.0,>1.00,Acidic,0.45,8%,6.0
2,6.3,0.3,0.34,Low,0.049,14.0,132.0,0.99-1.00,Acidic,0.49,9%,6.0
3,8.1,0.28,0.4,Low,0.05,30.0,97.0,0.99-1.00,Acidic,0.44,10%,6.0
4,7.2,0.23,0.32,Moderate,0.058,47.0,186.0,0.99-1.00,Acidic,0.4,9%,6.0
5,7.2,0.23,0.32,Moderate,0.058,47.0,186.0,0.99-1.00,Acidic,0.4,9%,6.0
6,8.1,0.28,0.4,Low,0.05,30.0,97.0,0.99-1.00,Acidic,0.44,10%,6.0
7,6.2,0.32,0.16,Moderate,0.045,30.0,136.0,0.99-1.00,Acidic,0.47,9%,6.0
8,7.0,0.27,0.36,High,0.045,45.0,170.0,>1.00,Acidic,0.45,8%,6.0
9,6.3,0.3,0.34,Low,0.049,14.0,132.0,0.99-1.00,Acidic,0.49,9%,6.0
10,8.1,0.22,0.43,Low,0.044,28.0,129.0,0.99-1.00,Acidic,0.45,11%,6.0
11,8.1,0.27,0.41,Low,0.033,11.0,63.0,0.99-1.00,Highly Acidic,0.56,12%,5.0
12,8.6,0.23,0.4,Low,0.033,17.0,109.0,0.99-1.00,Acidic,0.53,9%,5.0
13,7.9,0.18,0.37,Low,0.04,16.0,75.0,0.99-1.00,Acidic,0.63,10%,5.0
14,6.6,0.16,0.4,Low,0.044,48.0,143.0,0.99-1.00,Acidic,0.52,12%,7.0
15,8.3,0.42,0.62,High,0.04,41.0,177.3,>1.00,Highly Acidic,0.67,9%,5.0
16,6.6,0.17,0.38,Low,0.032,28.0,112.0,0.99-1.00,Acidic,0.55,11%,7.0
17,6.3,0.48,0.04,Low,0.046,30.0,99.0,0.99-1.00,Acidic,0.36,9%,6.0
18,6.2,0.66,0.48,Low,0.029,29.0,75.0,<0.99,Acidic,0.39,12%,8.0
19,7.4,0.34,0.42,Low,0.032,17.0,178.1,0.99-1.00,Acidic,0.53,11%,6.0
20,6.5,0.31,0.14,Moderate,0.044,34.0,133.0,0.99-1.00,Acidic,0.5,9%,5.0
21,6.2,0.66,0.48,Low,0.029,29.0,75.0,<0.99,Acidic,0.39,12%,8.0
22,6.4,0.31,0.38,Low,0.038,19.0,102.0,0.99-1.00,Acidic,0.35,11%,7.0
23,6.8,0.26,0.42,Low,0.049,41.0,122.0,0.99-1.00,Acidic,0.48,10%,8.0
24,7.6,0.67,0.14,Low,0.074,25.0,168.0,0.99-1.00,Acidic,0.51,9%,5.0
25,6.6,0.27,0.41,Low,0.052,16.0,142.0,0.99-1.00,Acidic,0.47,10%,6.0
26,7.0,0.25,0.32,Moderate,0.046,56.0,245.0,0.99-1.00,Acidic,0.5,10%,6.0
27,6.9,0.24,0.35,Low,0.052,35.0,146.0,0.99-1.00,Acidic,0.44,10%,6.0
28,7.0,0.28,0.39,Moderate,0.051,32.0,141.0,0.99-1.00,Acidic,0.53,10%,6.0
29,7.4,0.27,0.48,Low,0.047,17.0,132.0,0.99-1.00,Acidic,0.49,11%,6.0
30,7.2,0.32,0.36,Low,0.033,37.0,114.0,0.99-1.00,Acidic,0.71,12%,7.0
31,8.5,0.24,0.39,Moderate,0.044,20.0,142.0,0.99-1.00,Acidic,0.53,10%,6.0
32,8.3,0.14,0.34,Low,0.042,7.0,47.0,0.99-1.00,Acidic,0.4,10%,6.0
33,7.4,0.25,0.36,Low,0.05,31.0,100.0,0.99-1.00,Acidic,0.44,10%,6.0
34,6.2,0.12,0.34,Low,0.045,43.0,117.0,0.99-1.00,Acidic,0.51,9%,6.0
35,5.8,0.27,0.2,High,0.044,22.0,179.0,0.99-1.00,Acidic,0.37,10%,5.0
36,7.3,0.28,0.43,Low,0.08,21.0,123.0,0.99-1.00,Acidic,0.42,12%,5.0
37,6.5,0.39,0.23,Low,0.051,25.0,149.0,0.99-1.00,Acidic,0.35,10%,5.0
38,7.0,0.33,0.32,Low,0.053,37.8,138.0,0.99-1.00,Acidic,0.28,11%,6.0
39,7.3,0.24,0.39,High,0.057,45.0,149.0,0.99-1.00,Acidic,0.36,8%,5.0
40,7.3,0.24,0.39,High,0.057,45.0,149.0,0.99-1.00,Acidic,0.36,8%,5.0
41,6.7,0.23,0.39,Low,0.172,63.0,158.0,0.99-1.00,Acidic,0.36,9%,6.0
42,6.7,0.24,0.39,Low,0.173,63.0,157.0,0.99-1.00,Acidic,0.34,9%,6.0
43,7.0,0.31,0.26,Moderate,0.069,28.0,160.0,0.99-1.00,Acidic,0.46,9%,6.0
44,6.6,0.24,0.27,Low,0.057,33.0,152.0,0.99-1.00,Acidic,0.56,9%,
45,6.7,0.23,0.26,Low,0.06,33.0,154.0,0.99-1.00,Acidic,0.56,9%,6.0
46,7.4,0.18,0.31,Low,0.058,38.0,167.0,0.99-1.00,Acidic,0.53,10%,7.0
47,6.2,0.45,0.26,Low,0.063,63.0,206.0,0.99-1.00,Acidic,0.52,9%,4.0
48,6.2,0.46,0.25,,0.066,62.0,207.0,0.99-1.00,Acidic,0.52,9%,
49,7.0,0.31,0.26,Moderate,0.069,28.0,160.0,0.99-1.00,Acidic,0.46,9%,6.0
50,6.9,0.19,0.35,Low,0.067,32.0,150.0,0.99-1.00,Acidic,0.48,9%,5.0
51,7.2,0.19,0.31,Low,0.062,31.0,173.0,0.99-1.00,Acidic,0.44,11%,6.0
52,6.2,0.16,0.33,Low,0.057,21.0,82.0,0.99-1.00,Acidic,0.46,10%,7.0
53,6.4,0.18,0.35,Low,0.045,39.0,105.1,0.99-1.00,Acidic,0.35,10%,6.0
54,6.8,0.2,0.59,Low,0.147,38.0,132.0,0.99-1.00,Acidic,0.38,9%,6.0
55,6.9,0.25,0.35,Low,0.039,29.0,191.0,0.99-1.00,Acidic,0.52,11%,6.0
56,7.2,0.21,0.34,Moderate,0.043,37.0,213.0,0.99-1.00,Acidic,0.5,9%,6.0
57,6.0,0.19,0.26,Moderate,0.048,50.0,147.0,0.99-1.00,Acidic,0.36,8%,6.0
58,6.6,0.38,0.15,Low,0.044,25.0,78.0,0.99-1.00,Acidic,0.38,10%,6.0
59,7.4,0.2,0.36,Low,0.038,44.0,111.0,0.99-1.00,Acidic,0.34,9%,6.0
60,6.8,0.22,0.24,Low,0.092,30.0,123.0,0.99-1.00,Acidic,0.46,8%,6.0
61,6.0,0.19,0.26,Moderate,0.048,50.0,147.0,0.99-1.00,Acidic,0.36,8%,6.0
62,6.6,0.38,0.15,Low,0.044,25.0,78.0,0.99-1.00,Acidic,0.38,10%,6.0
63,7.2,0.24,0.27,Low,0.038,31.0,122.0,0.99-1.00,Acidic,0.46,10%,
64,6.2,0.35,0.03,Low,0.064,29.0,120.0,0.99-1.00,Acidic,0.54,9%,5.0
65,6.4,0.26,0.24,Low,0.04,27.0,124.0,0.99-1.00,Acidic,0.49,12%,7.0
